"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.FRESH_mass.g","CWM.DRY_mass.g","CWM.AREA_cm2","CWM.LDMC","CWM.SLA","CWM.HEIGHT_cm"
"1",4,4,0.210229649883998,0.831775304474096,0.956513599842023,0.814760917608875,1.89122569486583,3.76992895261036,0.0437662023939064,0.0104068988030468,1.35463610446137,0.277850281948923,139.261868137775,3.58197519042437
"4",3,3,0.0647920012091444,0.831775304474096,0.482893175576364,0.62298213180476,1.15947829592175,1.66298472279506,0.0657229769959405,0.0148247902571042,1.90828844384303,0.244221820256455,130.439985034416,4.436599729364
"7",3,3,0.0647920012091444,0.831775304474096,0.56431933680848,0.563684183959726,1.16875583117646,1.78225371337381,0.0614318134981968,0.0143044822256569,1.88751622874807,0.253973455723751,133.076533760259,4.14933539412674
"10",5,5,0.175008200082725,0.831775304474096,0.684790365339487,0.859146091557616,1.46431661741579,2.51152273058791,0.0574305286205818,0.0138375351892399,1.73824241476384,0.273707544580169,127.335026734632,4.66773725367532
"13",5,5,0.301416350779062,0.831775304474096,0.806964647643457,0.797621704070412,1.65622414480249,2.9285613941108,0.0366562559017941,0.0098887865911237,1.33415127478754,0.298831229298041,141.710373613242,3.17858545797923
"16",5,5,0.996067423430868,0.831775304474096,0.699668643957939,0.684387157974683,1.94158115174355,4.02111259848422,0.0383561692650334,0.00981801781737194,1.28535091314031,0.303527366579399,129.869484351266,4.97203830734967
"19",5,5,0.996067423430868,0.831775304474096,0.518146374963054,0.831614485768551,1.39524827715623,2.81101389479865,0.0564465751185221,0.013299362432565,1.77308334150727,0.253874804688769,130.068936599737,4.06433938205002
"22",6,6,0.980970502021483,0.831775304474096,0.778058950753213,0.784191681029357,2.20359102793631,5.50253686517514,0.0435225969230769,0.0102892553846154,1.33879260307692,0.230563669874708,111.137108067931,3.44212332307692
"25",5,5,0.996067423430868,0.831775304474096,0.508616202255406,0.869619965599159,1.65420802491043,3.64655027565692,0.0610071322190965,0.0134102432566606,1.69174901538971,0.235296133327155,123.774091703339,4.83148436207182
"28",5,5,0.175008200082725,0.831775304474096,0.69236468125895,0.800242241956575,1.42480481487115,2.45020896414308,0.0492432560994323,0.0129020561608102,1.68237348473224,0.293748303187233,131.76074358937,4.28438483965015
"31",3,3,0.160841761497644,0.831775304474096,0.42434764164779,0.605181610416306,1.31344484324147,2.78458804041405,0.0607777940102264,0.0138441563184806,1.85536110299489,0.222806999810774,125.160368055358,3.74181738495252
"34",5,5,0.917772402161724,0.831775304474096,0.540053378735799,0.789333191297425,1.82058321211387,4.57345982234927,0.0509712825539065,0.0120489218706245,1.61694068888267,0.223991720959871,115.107120181961,3.63150546065528
"37",4,4,0.155978702104208,0.831775304474096,0.832529439876121,0.719340126532029,1.55201849559277,2.81492547355489,0.0492379746835443,0.0126050632911392,1.6282,0.295970561605063,127.802258708865,4.34156962025317
"40",4,4,0.171075623513593,0.831775304474096,0.483924753693722,0.779298570086812,1.20717392458827,1.8349494200211,0.0628980218564117,0.0144030709641721,1.88601433116614,0.24831361969549,134.136270964118,4.37276912436022
"43",6,6,0.320445848757579,0.831775304474096,0.682753225946553,0.807692128943685,1.69476794763458,3.03742937092513,0.037651125,0.0103290357142857,1.35283348214286,0.304224009452518,138.335667591305,3.54987285714286
"46",4,4,0.155978702104208,0.831775304474096,0.821320787170805,0.651147138763112,1.30557635491905,2.27839590146441,0.0447110974409449,0.0120643454724409,1.66596368110236,0.301071584443233,134.833973544063,3.71683169291339
"49",3,3,0.0647920012091444,0.831775304474096,0.581743261300585,0.491263702520795,0.977323785502209,1.23945965137883,0.0611804333764554,0.0144631630012937,1.9563020698577,0.251356513516268,136.825666716704,3.82118887451488
"52",3,3,0.0711775985684763,0.831775304474096,0.524497877427885,0.60817425984254,1.08011751254869,1.29973389109046,0.0673798869438366,0.0152649161196207,1.94580320933625,0.241685357330197,129.700743003168,4.47501531728665
"55",5,5,0.301416350779062,0.831775304474096,0.727153622239159,0.863037163214316,1.81771988277529,3.52496048851184,0.0389200366524129,0.00967785583384239,1.26813301771533,0.286984884400336,141.414971583357,3.32865729993891
"58",2,2,NA,0.831775304474096,NA,NA,0.99662256668446,0.994987116715851,0.0686652383134739,0.0153750687442713,1.99414922089826,0.234273776987718,132.30985806642,4.31506141154904
"61",3,3,0.0647920012091444,0.831775304474096,0.774062077719284,0.410207703978136,0.85742131645161,1.5185194716187,0.0487337006181134,0.0127693093254501,1.82770884170922,0.282754200803494,140.963683440899,3.29189895189465
"64",3,3,0.0647920012091444,0.831775304474096,0.959117273430069,0.755433541421998,1.81845286425416,3.42234682143927,0.0358101636941119,0.00974080136818959,1.22428736867823,0.336755872819863,121.130452198829,4.832097727828
"67",4,4,0.23648626904607,0.831775304474096,0.532692128592842,0.692700490410295,1.36376555963887,2.47388034664372,0.0530596579247434,0.012901984036488,1.7162010718358,0.26547700477829,138.305043454437,3.61283283922463
"70",5,5,0.175008200082725,0.831775304474096,0.71578508937526,0.850765394998901,1.44839112485783,2.53750662681882,0.0531584886982346,0.0132398944068636,1.71583336083155,0.281332293737156,131.484501900344,4.4183184293021
"73",5,5,0.980970502021483,0.831775304474096,0.656729529680197,0.699949946671283,1.93512197731278,4.38311506474312,0.0358955245002653,0.0100469308331859,1.34900511232974,0.281837529253087,112.504042874636,3.63560728816558
"76",3,3,0.0647920012091444,0.831775304474096,0.556826327938992,0.627036896858644,1.32623220963874,2.24834798799917,0.0611033771929824,0.0140863815789474,1.81995131578947,0.257724591328794,129.890469780335,4.42075526315789
"79",5,5,0.889783801126419,0.831775304474096,0.622410899364567,0.848092592031967,1.59880175260952,3.43178218806953,0.0628777599743631,0.0136117128665278,1.71446394808524,0.225233780409021,125.699722086173,4.2461336324307
"82",5,5,0.996067423430868,0.831775304474096,0.54890333244323,0.7851280966882,1.45432208869068,3.43353014209129,0.0443847741935484,0.0113670414746544,1.65296956682028,0.253199947612479,130.677778945836,3.19394211981567
"85",5,5,0.175008200082725,0.831775304474096,0.806224966936301,0.800497834384498,1.57840985678115,2.77639931255346,0.0453098418692471,0.0122227283455275,1.56896544725041,0.308636451872811,128.053769659491,4.41251073873023
"88",3,3,0.0647920012091444,0.831775304474096,0.65728830984448,0.488850787221588,1.05075350167878,1.72236844235396,0.05617778653013,0.0136903505317054,1.87056675856636,0.265526810607247,136.74032066301,3.75988499409216
